"Time","Fetch"
2021-12-01 14:37:20,0 B
2021-12-01 14:37:40,0 B
2021-12-01 14:38:00,0 B
2021-12-01 14:38:20,0 B
2021-12-01 14:38:40,0 B
2021-12-01 14:39:00,0 B
2021-12-01 14:39:20,0 B
2021-12-01 14:39:40,0 B
2021-12-01 14:40:00,0 B
2021-12-01 14:40:20,0 B
2021-12-01 14:40:40,0 B
2021-12-01 14:41:00,0 B
2021-12-01 14:41:20,0 B
2021-12-01 14:41:40,0 B
2021-12-01 14:42:00,0 B
2021-12-01 14:42:20,0 B
2021-12-01 14:42:40,0 B
2021-12-01 14:43:00,0 B
2021-12-01 14:43:20,0 B
2021-12-01 14:43:40,0 B
2021-12-01 14:44:00,0 B
2021-12-01 14:44:20,0 B
2021-12-01 14:44:40,0 B
2021-12-01 14:45:00,0 B
2021-12-01 14:45:20,0 B
2021-12-01 14:45:40,0 B
2021-12-01 14:46:00,0 B
2021-12-01 14:46:20,0 B
2021-12-01 14:46:40,0 B
2021-12-01 14:47:00,0 B
2021-12-01 14:47:20,0 B
2021-12-01 14:47:40,0 B
2021-12-01 14:48:00,0 B
2021-12-01 14:48:20,0 B
2021-12-01 14:48:40,0 B
2021-12-01 14:49:00,0 B
2021-12-01 14:49:20,0 B
2021-12-01 14:49:40,0 B
2021-12-01 14:50:00,0 B
2021-12-01 14:50:20,0 B
2021-12-01 14:50:40,0 B
2021-12-01 14:51:00,0 B
2021-12-01 14:51:20,0 B
2021-12-01 14:51:40,410 MB
2021-12-01 14:52:00,2.62 GB
2021-12-01 14:52:20,5.97 GB
2021-12-01 14:52:40,7.57 GB
2021-12-01 14:53:00,8.08 GB
2021-12-01 14:53:20,8.16 GB
2021-12-01 14:53:40,8.18 GB
2021-12-01 14:54:00,8.23 GB
2021-12-01 14:54:20,8.02 GB
2021-12-01 14:54:40,8.03 GB
2021-12-01 14:55:00,8.31 GB
2021-12-01 14:55:20,8.43 GB
2021-12-01 14:55:40,8.55 GB
2021-12-01 14:56:00,8.38 GB
2021-12-01 14:56:20,8.57 GB
2021-12-01 14:56:40,8.62 GB
2021-12-01 14:57:00,8.23 GB
2021-12-01 14:57:20,8.21 GB
2021-12-01 14:57:40,8.36 GB
2021-12-01 14:58:00,8.31 GB
2021-12-01 14:58:20,8.05 GB
2021-12-01 14:58:40,7.95 GB
2021-12-01 14:59:00,8.47 GB
2021-12-01 14:59:20,8.56 GB
2021-12-01 14:59:40,8.03 GB
2021-12-01 15:00:00,8.25 GB
2021-12-01 15:00:20,8.63 GB
2021-12-01 15:00:40,8.16 GB
2021-12-01 15:01:00,7.20 GB
2021-12-01 15:01:20,3.45 GB
2021-12-01 15:01:40,0 B
2021-12-01 15:02:00,0 B
2021-12-01 15:02:20,0 B
2021-12-01 15:02:40,0 B
2021-12-01 15:03:00,0 B
2021-12-01 15:03:20,0 B
2021-12-01 15:03:40,0 B
2021-12-01 15:04:00,0 B
2021-12-01 15:04:20,0 B
2021-12-01 15:04:40,0 B
2021-12-01 15:05:00,0 B
2021-12-01 15:05:20,0 B
2021-12-01 15:05:40,0 B
2021-12-01 15:06:00,0 B
2021-12-01 15:06:20,0 B
2021-12-01 15:06:40,0 B
2021-12-01 15:07:00,0 B
2021-12-01 15:07:20,0 B
2021-12-01 15:07:40,0 B
2021-12-01 15:08:00,0 B
2021-12-01 15:08:20,0 B
2021-12-01 15:08:40,0 B
2021-12-01 15:09:00,0 B
2021-12-01 15:09:20,0 B
2021-12-01 15:09:40,0 B
2021-12-01 15:10:00,0 B
2021-12-01 15:10:20,0 B
2021-12-01 15:10:40,0 B
2021-12-01 15:11:00,0 B
2021-12-01 15:11:20,0 B
2021-12-01 15:11:40,0 B
2021-12-01 15:12:00,0 B
2021-12-01 15:12:20,0 B
2021-12-01 15:12:40,0 B
2021-12-01 15:13:00,0 B
2021-12-01 15:13:20,0 B
2021-12-01 15:13:40,0 B
2021-12-01 15:14:00,0 B
2021-12-01 15:14:20,0 B
2021-12-01 15:14:40,0 B
2021-12-01 15:15:00,0 B
2021-12-01 15:15:20,0 B
2021-12-01 15:15:40,0 B
2021-12-01 15:16:00,0 B
2021-12-01 15:16:20,0 B
2021-12-01 15:16:40,0 B
2021-12-01 15:17:00,0 B
2021-12-01 15:17:20,0 B
2021-12-01 15:17:40,0 B
2021-12-01 15:18:00,0 B
2021-12-01 15:18:20,0 B
2021-12-01 15:18:40,0 B
2021-12-01 15:19:00,0 B
2021-12-01 15:19:20,0 B
2021-12-01 15:19:40,0 B
2021-12-01 15:20:00,0 B
2021-12-01 15:20:20,0 B
2021-12-01 15:20:40,0 B
2021-12-01 15:21:00,0 B
2021-12-01 15:21:20,0 B
2021-12-01 15:21:40,0 B
2021-12-01 15:22:00,0 B
2021-12-01 15:22:20,0 B
2021-12-01 15:22:40,0 B
2021-12-01 15:23:00,0 B
2021-12-01 15:23:20,0 B
2021-12-01 15:23:40,0 B
2021-12-01 15:24:00,0 B
2021-12-01 15:24:20,0 B
2021-12-01 15:24:40,0 B
2021-12-01 15:25:00,0 B
2021-12-01 15:25:20,0 B
2021-12-01 15:25:40,0 B
2021-12-01 15:26:00,0 B
2021-12-01 15:26:20,0 B
2021-12-01 15:26:40,0 B
2021-12-01 15:27:00,0 B
2021-12-01 15:27:20,0 B
2021-12-01 15:27:40,0 B
2021-12-01 15:28:00,0 B
2021-12-01 15:28:20,0 B
2021-12-01 15:28:40,0 B
2021-12-01 15:29:00,0 B
2021-12-01 15:29:20,0 B
2021-12-01 15:29:40,0 B
2021-12-01 15:30:00,0 B
2021-12-01 15:30:20,0 B
2021-12-01 15:30:40,0 B
2021-12-01 15:31:00,0 B
2021-12-01 15:31:20,0 B
2021-12-01 15:31:40,0 B
2021-12-01 15:32:00,0 B
2021-12-01 15:32:20,0 B
2021-12-01 15:32:40,0 B
2021-12-01 15:33:00,0 B
2021-12-01 15:33:20,0 B
2021-12-01 15:33:40,0 B
2021-12-01 15:34:00,0 B
2021-12-01 15:34:20,0 B
2021-12-01 15:34:40,0 B
2021-12-01 15:35:00,0 B
2021-12-01 15:35:20,0 B
2021-12-01 15:35:40,0 B
2021-12-01 15:36:00,0 B
2021-12-01 15:36:20,0 B
2021-12-01 15:36:40,0 B
2021-12-01 15:37:00,0 B
2021-12-01 15:37:20,0 B
2021-12-01 15:37:40,0 B
2021-12-01 15:38:00,0 B
2021-12-01 15:38:20,0 B
2021-12-01 15:38:40,0 B
2021-12-01 15:39:00,0 B
