"Time","Fetch"
2021-12-01 08:39:40,0 B
2021-12-01 08:40:00,0 B
2021-12-01 08:40:20,0 B
2021-12-01 08:40:40,0 B
2021-12-01 08:41:00,0 B
2021-12-01 08:41:20,0 B
2021-12-01 08:41:40,0 B
2021-12-01 08:42:00,0 B
2021-12-01 08:42:20,0 B
2021-12-01 08:42:40,0 B
2021-12-01 08:43:00,0 B
2021-12-01 08:43:20,0 B
2021-12-01 08:43:40,0 B
2021-12-01 08:44:00,0 B
2021-12-01 08:44:20,0 B
2021-12-01 08:44:40,0 B
2021-12-01 08:45:00,0 B
2021-12-01 08:45:20,0 B
2021-12-01 08:45:40,0 B
2021-12-01 08:46:00,0 B
2021-12-01 08:46:20,0 B
2021-12-01 08:46:40,0 B
2021-12-01 08:47:00,0 B
2021-12-01 08:47:20,2.16 GB
2021-12-01 08:47:40,5.60 GB
2021-12-01 08:48:00,7.42 GB
2021-12-01 08:48:20,7.81 GB
2021-12-01 08:48:40,7.34 GB
2021-12-01 08:49:00,7.86 GB
2021-12-01 08:49:20,7.90 GB
2021-12-01 08:49:40,7.90 GB
2021-12-01 08:50:00,8.27 GB
2021-12-01 08:50:20,8.17 GB
2021-12-01 08:50:40,8.04 GB
2021-12-01 08:51:00,8.27 GB
2021-12-01 08:51:20,8.36 GB
2021-12-01 08:51:40,8.27 GB
2021-12-01 08:52:00,8.15 GB
2021-12-01 08:52:20,8.24 GB
2021-12-01 08:52:40,8.30 GB
2021-12-01 08:53:00,7.90 GB
2021-12-01 08:53:20,7.87 GB
2021-12-01 08:53:40,8.16 GB
2021-12-01 08:54:00,8.14 GB
2021-12-01 08:54:20,7.85 GB
2021-12-01 08:54:40,8.04 GB
2021-12-01 08:55:00,8.23 GB
2021-12-01 08:55:20,8.09 GB
2021-12-01 08:55:40,8.07 GB
2021-12-01 08:56:00,8.47 GB
2021-12-01 08:56:20,8.29 GB
2021-12-01 08:56:40,5.74 GB
2021-12-01 08:57:00,3.09 GB
2021-12-01 08:57:20,0 B
2021-12-01 08:57:40,0 B
2021-12-01 08:58:00,0 B
2021-12-01 08:58:20,0 B
2021-12-01 08:58:40,0 B
2021-12-01 08:59:00,0 B
2021-12-01 08:59:20,0 B
2021-12-01 08:59:40,0 B
2021-12-01 09:00:00,0 B
2021-12-01 09:00:20,0 B
2021-12-01 09:00:40,0 B
2021-12-01 09:01:00,0 B
2021-12-01 09:01:20,0 B
2021-12-01 09:01:40,0 B
2021-12-01 09:02:00,0 B
2021-12-01 09:02:20,0 B
2021-12-01 09:02:40,0 B
2021-12-01 09:03:00,0 B
2021-12-01 09:03:20,0 B
2021-12-01 09:03:40,0 B
2021-12-01 09:04:00,0 B
2021-12-01 09:04:20,0 B
2021-12-01 09:04:40,0 B
2021-12-01 09:05:00,0 B
2021-12-01 09:05:20,0 B
2021-12-01 09:05:40,0 B
2021-12-01 09:06:00,0 B
2021-12-01 09:06:20,0 B
2021-12-01 09:06:40,0 B
2021-12-01 09:07:00,0 B
2021-12-01 09:07:20,0 B
2021-12-01 09:07:40,0 B
2021-12-01 09:08:00,0 B
2021-12-01 09:08:20,0 B
2021-12-01 09:08:40,0 B
2021-12-01 09:09:00,0 B
2021-12-01 09:09:20,0 B
2021-12-01 09:09:40,0 B
2021-12-01 09:10:00,0 B
2021-12-01 09:10:20,0 B
2021-12-01 09:10:40,0 B
2021-12-01 09:11:00,0 B
2021-12-01 09:11:20,0 B
2021-12-01 09:11:40,0 B
2021-12-01 09:12:00,0 B
2021-12-01 09:12:20,0 B
2021-12-01 09:12:40,0 B
2021-12-01 09:13:00,0 B
2021-12-01 09:13:20,0 B
2021-12-01 09:13:40,0 B
2021-12-01 09:14:00,0 B
2021-12-01 09:14:20,0 B
2021-12-01 09:14:40,0 B
2021-12-01 09:15:00,0 B
2021-12-01 09:15:20,0 B
2021-12-01 09:15:40,0 B
2021-12-01 09:16:00,0 B
2021-12-01 09:16:20,0 B
2021-12-01 09:16:40,0 B
2021-12-01 09:17:00,0 B
2021-12-01 09:17:20,0 B
2021-12-01 09:17:40,0 B
2021-12-01 09:18:00,0 B
2021-12-01 09:18:20,0 B
2021-12-01 09:18:40,0 B
2021-12-01 09:19:00,0 B
2021-12-01 09:19:20,0 B
2021-12-01 09:19:40,0 B
2021-12-01 09:20:00,0 B
2021-12-01 09:20:20,0 B
2021-12-01 09:20:40,0 B
2021-12-01 09:21:00,0 B
2021-12-01 09:21:20,0 B
2021-12-01 09:21:40,0 B
2021-12-01 09:22:00,0 B
2021-12-01 09:22:20,0 B
2021-12-01 09:22:40,0 B
2021-12-01 09:23:00,0 B
2021-12-01 09:23:20,0 B
2021-12-01 09:23:40,0 B
2021-12-01 09:24:00,0 B
2021-12-01 09:24:20,0 B
2021-12-01 09:24:40,0 B
2021-12-01 09:25:00,0 B
2021-12-01 09:25:20,0 B
2021-12-01 09:25:40,0 B
2021-12-01 09:26:00,0 B
2021-12-01 09:26:20,0 B
2021-12-01 09:26:40,0 B
2021-12-01 09:27:00,0 B
2021-12-01 09:27:20,0 B
2021-12-01 09:27:40,0 B
2021-12-01 09:28:00,0 B
2021-12-01 09:28:20,0 B
2021-12-01 09:28:40,0 B
2021-12-01 09:29:00,0 B
2021-12-01 09:29:20,0 B
2021-12-01 09:29:40,0 B
2021-12-01 09:30:00,0 B
2021-12-01 09:30:20,0 B
2021-12-01 09:30:40,0 B
2021-12-01 09:31:00,0 B
2021-12-01 09:31:20,0 B
2021-12-01 09:31:40,0 B
2021-12-01 09:32:00,0 B
2021-12-01 09:32:20,0 B
2021-12-01 09:32:40,0 B
2021-12-01 09:33:00,0 B
2021-12-01 09:33:20,0 B
2021-12-01 09:33:40,0 B
2021-12-01 09:34:00,0 B
2021-12-01 09:34:20,0 B
2021-12-01 09:34:40,0 B
2021-12-01 09:35:00,0 B
2021-12-01 09:35:20,0 B
2021-12-01 09:35:40,0 B
2021-12-01 09:36:00,0 B
2021-12-01 09:36:20,0 B
2021-12-01 09:36:40,0 B
2021-12-01 09:37:00,0 B
2021-12-01 09:37:20,0 B
2021-12-01 09:37:40,0 B
2021-12-01 09:38:00,0 B
2021-12-01 09:38:20,0 B
