55.583,9486258064,2976,28235189400
53.3,9909953754,2849,28235189400
59.318,10050051315,2809,28235189400
51.993,9922240792,2845,28235189400
54.097,6813578512,4143,28235189400
48.384,7367645615,3832,28235189400
53.73,9609091558,2938,28235189400
52.811,9887752952,2855,28235189400
52.141,9681799425,2916,28235189400
51.445,9493503762,2974,28235189400
56.187,7096603396,3978,28235189400
53.274,7112087715,3970,28235189400
51.455,7115439878,3968,28235189400
50.45,7307516325,3863,28235189400
54.939,6925386347,4077,28235189400
49.845,9905934346,2850,28235189400
52.12,7171743081,3937,28235189400
50.728,9757799614,2893,28235189400
53.443,7276681266,3880,28235189400
51.473,7326201002,3854,28235189400
