files,nodes,cores,partitions,time,iteration
1200,7,16,112,134.262601852417,0
1200,7,16,112,95.7602128982544,1
1200,7,16,112,93.65702891349792,2
1200,7,16,112,97.32256698608398,3
1200,7,16,112,95.44611287117004,4
1200,6,16,96,110.29985499382019,0
1200,6,16,96,106.32240796089172,1
1200,6,16,96,103.58420205116272,2
1200,6,16,96,105.81114506721497,3
1200,6,16,96,105.06476402282715,4
1200,5,16,80,128.54382014274597,0
1200,5,16,80,120.62356686592102,1
1200,5,16,80,125.60933303833008,2
1200,5,16,80,123.25226593017578,3
1200,5,16,80,123.71967816352844,4
1200,4,16,64,186.42973113059998,0
1200,4,16,64,152.63973123019698,1
1200,4,16,64,152.90698194503784,2
1200,4,16,64,153.62897491455078,3
1200,4,16,64,152.26580715179443,4
1200,3,16,48,208.2349739074707,0
1200,3,16,48,202.17698311805725,1
1200,3,16,48,202.38521099090576,2
1200,3,16,48,202.82753705978394,3
1200,3,16,48,204.40320014953613,4
1200,2,16,32,585.0216510295868,0
1200,2,16,32,305.11690402030945,1
1200,2,16,32,305.11690402030945,2
1200,2,16,32,303.6253499984741,3
1200,2,16,32,305.2190828323364,4
1200,1,16,16,595.5420210361481,0
1200,1,16,16,589.3198521137238,1
1200,1,16,16,599.8804891109467,2
1200,1,16,16,591.8097870349884,3
1200,1,16,16,598.2247569561005,4
