AppTime,WallTime,Throughput
1.56,569,2764
1.60,616,2555
1.75,720,2185
1.55,607,2592
1.52,594,2648
1.55,581,2708
1.57,601,2619
1.64,593,2652
1.65,601,2616
1.55,601,2617
1.53,612,2571
1.51,590,2664
1.55,583,2699
1.54,578,2719
1.57,596,2637
1.56,599,2627
1.66,597,2632
1.57,586,2683
1.57,565,2784
1.58,601,2615
