8.203,2825553141,832,2352932340
6.007,4300906583,547,2352932340
6.438,4616189437,509,2352932340
6.024,4397610808,535,2352932340
5.938,4242809412,554,2352932340
6.58,4982090316,472,2352932340
6.162,4647547467,506,2352932340
6.381,4895864407,480,2352932340
6.534,5240023939,449,2352932340
6.446,5108089721,460,2352932340
6.621,5401357738,435,2352932340
6.106,4477362226,525,2352932340
6.59,5159185612,456,2352932340
6.762,5456791132,431,2352932340
6.087,4554333114,516,2352932340
6.489,5078079773,463,2352932340
6.517,5203479404,452,2352932340
6.649,5022830496,468,2352932340
6.329,4884429748,481,2352932340
6.401,5466171037,430,2352932340
