29.089,10703898840,1055,11294075760
24.186,13033628907,866,11294075760
26.066,12051641217,937,11294075760
24.978,13137883724,859,11294075760
23.497,15415007587,732,11294075760
23.208,16330941944,691,11294075760
22.221,15189241762,743,11294075760
22.123,16797325737,672,11294075760
22.599,15689586618,719,11294075760
23.493,16827600315,671,11294075760
24.763,16649378768,678,11294075760
23.524,16631725425,679,11294075760
22.368,15999670557,705,11294075760
24.504,16871988096,669,11294075760
24.135,17382819297,649,11294075760
23.253,17639936071,640,11294075760
23.021,17419310106,648,11294075760
23.148,17330139132,651,11294075760
22.076,16976818270,665,11294075760
21.709,17027953962,663,11294075760
22.166,16724619107,675,11294075760
23.128,16897419439,668,11294075760
23.619,18257780296,618,11294075760
20.551,15843338915,712,11294075760
24.484,17743625659,636,11294075760
20.893,16514791419,683,11294075760
23.259,17325854458,651,11294075760
21.942,16820681228,671,11294075760
21.396,17097451378,660,11294075760
21.362,17634178319,640,11294075760
23.171,19324225336,584,11294075760
23.172,18666103504,605,11294075760
23.268,17528361915,644,11294075760
23.464,18771618749,601,11294075760
23.432,17687892364,638,11294075760
22.217,18212977085,620,11294075760
22.252,17551723596,643,11294075760
22.453,18048701946,625,11294075760
23.449,18973888752,595,11294075760
24.193,17391488917,649,11294075760
